task	release_status	outcome	reward	tests_passed	tests_total	condition	background_documents_available	clean_lineage	skill_tree_sha256	background_doc_tree_sha256	evidence_sha256	evidence_source	oracle_agent	model
adaptive-cruise-control	validated_skill_only_full_score	full_score	1.0	12	12	skill_only	false	verified	cde9b3a322539148ceb0c3913ec1e0869a75a95a5eaf250cf4808ed2bc08a949	d5c18832e8d656b1c22ed53bf6818d42ada286f0cbb6b6a5eacd477c9f79af97	795dd5a22d6239dd14ac3b1393566deb2eea8d697f81711f71a1d564c776bc95	formal_strict_transfer_sweep	claude-code-skill-only	claude-opus-4-6
data-to-d3	validated_skill_only_full_score	full_score	1.0	15	15	skill_only	false	verified	daefd5ec5968d15bef7bddda4b58c35b0a48e4b81d9871e83dbc260cfc88bbff	b6b0dc1357e70d5b49844f1943db8c1787abf734de59502224a0fc42fb0910d1	4c4eb67b78bc36c6af837cff8a426635f149f7e9fd25069d0c7eed2cc33ce061	fresh_empty_skill_reevolution	claude-code-skill-only	claude-opus-4-6
find-topk-similiar-chemicals	validated_skill_only_full_score	full_score	1.0	2	2	skill_only	false	verified	1a9d458796d396c3725e4d0d5b7548cbceb71b3426df7cc2ef40248e764c8b88	3904a573f2b5b83fb785caac34febf9e31ad8bc1e36c71ebedb99354f6560273	da9c51f29fe206fe0837c3d8115433ff3a27374d4a5f05525b0860e69386eccd	legacy_verifier_stdout_plus_reward	claude-code-skill-only	claude-opus-4-6
jax-computing-basics	validated_skill_only_full_score	full_score	1.0	5	5	skill_only	false	verified	1ab5b66d3393605a750b96403b6c455cf4f03909cb76d68498a0d08cf1505fd6	0af5f7655d03a674cbfc11505f445f812df1edce89b38db98788b53402558611	0c68f7645d67e581944897732efa70591ca696d0bdb96270bd09799e593d2adc	formal_strict_transfer_sweep	claude-code-skill-only	claude-opus-4-6
latex-formula-extraction	validated_skill_only_full_score	full_score	1.0	7	7	skill_only	false	verified	a4c7566b0aa22cf89e9e84078b1651e1667cc9072bbf991b75af750d85c91005	b818a5173c24b6ff478a4d294f47df6807ee0900302d2d1f3ac1b58651839195	5c9cc6bd0b590e30e4e8ceca7328f7d2566a80acf86591f3cae4f8ea30a80cb7	fresh_empty_skill_reevolution	claude-code-skill-only	claude-opus-4-6
organize-messy-files	validated_skill_only_full_score	full_score	1.0	6	6	skill_only	false	verified	2ed72b6e0bb16ec59b746bc0d999071622bc3e0452b47ef64ceb1c5b866c1deb	c241375ad07c7ca30c46630622743d0c0bb0e3d437ca27cfc4ba2c3303511a88	c4f83f78c6a02baa0a4bb6825ad958793d58194be857803b4c4c11588fb1e0fa	formal_strict_transfer_sweep	claude-code-skill-only	claude-opus-4-6
r2r-mpc-control	validated_skill_only_full_score	full_score	1.0	6	6	skill_only	false	verified	33ae177486ccaf64eaaec4c67c6842652ed0a30d28d8e31ecfb503ff73591e45	5ad94b94dea21513b14cc2132c89fac16b445b4bf5fb021cee1fb638cc877ccc	71dea5d7407ceffc625a0c9198faede7803c0c433c9626df820f2d36652e58ca	formal_strict_transfer_sweep	claude-code-skill-only	claude-opus-4-6
shock-analysis-supply	validated_skill_only_full_score	full_score	1.0	9	9	skill_only	false	verified	28f28348bb6e1c98b9933421fe6fb1d8b45b5df0208ba027bcf46d1c29bf0bff	98ed0cd55bc2dca5eb1ce12904b340ff4003a67b69189e85b7368b889a248189	1e7184fcf2255d96eb1d0855e4659a0c36035e4644bee0ffe72a8292a3f618e2	fresh_empty_skill_reevolution	claude-code-skill-only	claude-opus-4-6
trend-anomaly-causal-inference	validated_skill_only_full_score	full_score	1.0	15	15	skill_only	false	verified	0581c89b01af4af3f277abdde6fc6324a4b166f79372098e2e43c7e15ac5e4cf	c5f51e9ceef47cfe83458eaec3ebad8a19ad9509d71db48e1bbe9883e0e69d2f	6f505ffd1b98f7adfe220f41f48eb004f0ad7f44f3ba64dda73c2660eeb99bf8	formal_strict_transfer_sweep	claude-code-skill-only	claude-opus-4-6
